CMDLINE C:\Users\nishkarsh.gupta\.virtualenvs\Xetra_1234-YabI4gXW\Scripts\python.exe run.py --config configs/xetra_report1_config.yml
MEM 2.000000 1777283770.0060
MEM 4.441406 1777283770.1065
MEM 4.441406 1777283770.2070
MEM 4.441406 1777283770.3076
MEM 4.441406 1777283770.4082
MEM 4.441406 1777283770.5087
MEM 4.441406 1777283770.6093
MEM 4.441406 1777283770.7099
MEM 4.441406 1777283770.8104
MEM 4.441406 1777283770.9107
MEM 4.441406 1777283771.0112
MEM 4.441406 1777283771.1115
MEM 4.441406 1777283771.2121
MEM 4.441406 1777283771.3126
MEM 4.441406 1777283771.4132
MEM 4.441406 1777283771.5138
MEM 4.441406 1777283771.6143
MEM 4.441406 1777283771.7145
MEM 4.441406 1777283771.8148
MEM 4.441406 1777283771.9155
MEM 4.441406 1777283772.0160
MEM 4.441406 1777283772.1163
MEM 4.441406 1777283772.2169
MEM 4.441406 1777283772.3171
MEM 4.441406 1777283772.4174
MEM 4.441406 1777283772.5178
MEM 4.441406 1777283772.6182
MEM 4.441406 1777283772.7187
MEM 4.441406 1777283772.8192
MEM 4.441406 1777283772.9198
MEM 4.441406 1777283773.0204
MEM 4.441406 1777283773.1208
MEM 4.441406 1777283773.2215
MEM 4.441406 1777283773.3220
MEM 4.441406 1777283773.4222
MEM 4.441406 1777283773.5225
MEM 4.441406 1777283773.6228
MEM 4.441406 1777283773.7233
MEM 4.441406 1777283773.8237
MEM 4.441406 1777283773.9243
MEM 4.441406 1777283774.0248
MEM 4.441406 1777283774.1252
MEM 4.441406 1777283774.2256
MEM 4.441406 1777283774.3262
MEM 4.441406 1777283774.4264
MEM 4.441406 1777283774.5266
MEM 4.441406 1777283774.6271
MEM 4.441406 1777283774.7275
MEM 4.441406 1777283774.8282
MEM 4.441406 1777283774.9283
MEM 4.441406 1777283775.0286
MEM 4.441406 1777283775.1290
MEM 4.441406 1777283775.2296
MEM 4.441406 1777283775.3301
MEM 4.441406 1777283775.4307
MEM 4.441406 1777283775.5313
MEM 4.441406 1777283775.6319
MEM 4.441406 1777283775.7323
MEM 4.441406 1777283775.8325
MEM 4.441406 1777283775.9332
MEM 4.441406 1777283776.0338
MEM 4.441406 1777283776.1342
MEM 4.441406 1777283776.2349
MEM 4.441406 1777283776.3355
MEM 4.441406 1777283776.4359
MEM 4.441406 1777283776.5364
MEM 4.441406 1777283776.6367
MEM 4.441406 1777283776.7371
MEM 4.441406 1777283776.8373
MEM 4.441406 1777283776.9380
MEM 4.441406 1777283777.0386
MEM 4.441406 1777283777.1391
MEM 4.441406 1777283777.2398
MEM 4.441406 1777283777.3405
MEM 4.441406 1777283777.4412
MEM 4.441406 1777283777.5419
MEM 4.441406 1777283777.6425
MEM 4.441406 1777283777.7429
MEM 4.441406 1777283777.8433
MEM 4.441406 1777283777.9438
MEM 4.441406 1777283778.0441
MEM 4.441406 1777283778.1447
MEM 4.441406 1777283778.2455
MEM 4.441406 1777283778.3462
MEM 4.441406 1777283778.4468
MEM 4.441406 1777283778.5474
MEM 4.441406 1777283778.6480
MEM 4.441406 1777283778.7482
MEM 4.441406 1777283778.8488
MEM 4.441406 1777283778.9492
MEM 4.441406 1777283779.0495
MEM 4.441406 1777283779.1500
MEM 4.441406 1777283779.2505
MEM 4.441406 1777283779.3511
MEM 4.441406 1777283779.4518
MEM 4.441406 1777283779.5522
MEM 4.441406 1777283779.6524
MEM 4.441406 1777283779.7528
MEM 4.441406 1777283779.8533
MEM 4.441406 1777283779.9537
MEM 4.441406 1777283780.0542
MEM 4.441406 1777283780.1545
MEM 4.441406 1777283780.2551
MEM 4.441406 1777283780.3556
MEM 4.441406 1777283780.4562
MEM 4.441406 1777283780.5567
MEM 4.441406 1777283780.6575
MEM 4.441406 1777283780.7579
MEM 4.441406 1777283780.8581
MEM 4.441406 1777283780.9583
MEM 4.441406 1777283781.0589
MEM 4.441406 1777283781.1593
MEM 4.441406 1777283781.2599
MEM 4.441406 1777283781.3603
MEM 4.441406 1777283781.4610
MEM 4.441406 1777283781.5613
MEM 4.441406 1777283781.6617
MEM 4.441406 1777283781.7623
MEM 4.441406 1777283781.8624
MEM 4.441406 1777283781.9626
MEM 4.441406 1777283782.0628
MEM 4.441406 1777283782.1629
MEM 4.441406 1777283782.2633
MEM 4.441406 1777283782.3638
MEM 4.441406 1777283782.4645
MEM 4.441406 1777283782.5652
MEM 4.441406 1777283782.6659
MEM 4.441406 1777283782.7664
MEM 4.441406 1777283782.8668
MEM 4.441406 1777283782.9672
MEM 4.441406 1777283783.0679
MEM 4.441406 1777283783.1683
MEM 4.441406 1777283783.2690
MEM 4.441406 1777283783.3696
MEM 4.441406 1777283783.4702
MEM 4.441406 1777283783.5710
MEM 4.441406 1777283783.6716
MEM 4.441406 1777283783.7720
MEM 4.441406 1777283783.8723
MEM 4.441406 1777283783.9726
MEM 4.441406 1777283784.0731
MEM 4.441406 1777283784.1734
MEM 4.441406 1777283784.2738
MEM 4.441406 1777283784.3741
MEM 4.441406 1777283784.4744
MEM 4.441406 1777283784.5749
MEM 4.441406 1777283784.6756
MEM 4.441406 1777283784.7760
MEM 4.441406 1777283784.8761
MEM 4.441406 1777283784.9764
MEM 4.441406 1777283785.0766
MEM 4.441406 1777283785.1771
MEM 4.441406 1777283785.2772
MEM 4.441406 1777283785.3774
MEM 4.441406 1777283785.4779
MEM 4.441406 1777283785.5783
MEM 4.441406 1777283785.6792
MEM 4.441406 1777283785.7796
MEM 4.441406 1777283785.8802
MEM 4.441406 1777283785.9806
MEM 4.441406 1777283786.0812
MEM 4.441406 1777283786.1814
MEM 4.441406 1777283786.2820
MEM 4.441406 1777283786.3823
MEM 4.441406 1777283786.4825
MEM 4.441406 1777283786.5826
MEM 4.441406 1777283786.6833
MEM 4.441406 1777283786.7836
MEM 4.441406 1777283786.8842
MEM 4.441406 1777283786.9848
MEM 4.441406 1777283787.0850
